cur_code,eur_rate
AED,0.237479
AMD,0.00240323
ARS,0.0005776088
AUD,0.62049
BBD,0.433135
BOB,0.08882104
BRL,0.1693
BYN,0.288118013
CAD,0.622625
CHF,1.05716
CLP,0.00091
CNY,0.1300356
COP,0.0002758876
CRC,0.00195005
CZK,0.041083
DJF,0.004896659
DKK,0.133769
DZD,0.006516213
EGP,0.01672996
EUR,1
GBP,1.164065
GEL,0.3347946
GTQ,0.1143137
HKD,0.1111805
HUF,0.002741149
IDR,0.0000489757
ILS,0.2868777
INR,0.009097448
IQD,0.0006652917
ISK,0.0071658904
JMD,0.005524538
JOD,1.230268
JPY,0.005527
KRW,0.0006283599
KWD,2.827837
KZT,0.001951613
LKR,0.002635294
MDL,0.049835
MKD,0.01626647
MUR,0.01834905
MVR,0.0564012929
MXN,0.05073186
MYR,0.2135949
NIO,0.0236854571
NOK,0.09248606
NZD,0.4979
OMR,2.268269
PHP,0.01387315
PKR,0.003147354
PLN,0.229185
QAR,0.238747
RON,0.189956
RSD,0.008518695
RUB,0.0103524
SAR,0.2321582
SEK,0.08848735
SGD,0.6822772
THB,0.02614108
TRY,0.017865
TWD,0.02741279
UAH,0.01952457
USD,0.87222
UYU,0.021715
VND,0.0000335171
ZAR,0.05352116
