id,value
1,943.95
2,976.98
3,NA
4,1O07.05
5,1012.93
6,1.17151e+03
7,NA
8,NA
9,931.31
10,955.43
11,"1122,41"
12,1035.98
13,"1040,08"
14,1011.07
15,944.42 dollars
16,   1178.69
17,1 049.79
18,NA
19,  1070.14 
20,952.72
21,893.22
22,978.2
23,897.4
24,927.11
25,937.5
26,"831,33"
27,1083.78
28,1 015.34
29,886.19
30,1 125.38
31,1042.65
32,$970.49
33,1.08951e+03
34,"1087,81"
35,1082.16
36,+1068.86
37,1O55.39
38,n/a
39,NA
40,NA
41,+930.53
42,979.21
43,873.46
44,1216.9
45,"1120,8"
46,887.69
47,959.71
48,$953.33
49,1078
50,N/A
51,1025.33
52,997.15
53,NA
54,N/A
55,977.42
56,1151.65
57,845.12
58,1 058.46
59, 1012.39 
60,1021.59
61,"1,037.96"
62,NA
63,"966,68"
64,898.14
65,$892.82
66,1030.35
67,   1044.82  
68,  1005.3
69,1092.23
70,N/A
71,950.90
72,n/a
73,1100.57
74,929.08
75,931.20
76,1102.56
77,9.71520e+02
78,877.93
79,+1018.13
80,986.11
81,1000.58
82,+1038.53
83,"962,93"
84,1064.44
85, 977.95
86,1 033.18
87,"1109,68"
88,"1,043.52"
89,967.41 dollars
90,"$1,114.88"
91,"1,099.35"
92,1054.84
93,1 023.87
94,937.21
95,1136.07
96,$939.97
97,1218.73
98,N/A
99,976.43
100,$897.36
101,$928.96
102,"1025,69"
103,975.33
104,N/A
105,n/a
106,$995.50
107,921.51
108,NA
109,961.98
110,  1091.9 
111,N/A
112,1060.8
113,NA
114,994.44
115,  1051.94
116,1030.12
117,1010.57
118,935.93
119,915.03
120,897.59
121,1011.76
122,"905,25"
123,950.94
124,974.39
125,n/a
126,934.81 dollars
127,"1,023.54"
128,1007.8
129,+903.81
130,992.87
131,1144.46
132,1045.15
133,"1004,12"
134,+957.75
135,7.94680e+02
136,1113.13
137,853.94
138,1073.99
139,NA
140,N/A
141,1070.18
142,973.78
143,$842.79
144,848.53
145,839.85
146,946.91
147,NA
148,+1068.79
149,"1,210.01"
150,871.30
151,1078.77
152,1076.9
153,1033.22
154,899.16
155,988.05
156,$971.96
157,1056.3
158, 962.76
159,1097.7
160,n/a
161,1105.27 dollars
162,895.08 USD
163,873.98
164,1324.1
165,958.31
166,1029.82
167,1 063.66
168,951.62
169,1051.69
170,1.03690e+03
171,978.46
172,1006.53
173,+996.59
174,1212.85
175,925.87
176,890.4
177,   1003.78 
178,1031.05 dollars
179,1043.65
180,954.16
181,N/A
182,  1126.32
183,965.03
184,913.45
185,+976.37
186,980.28
187,1110.99
188,n/a
189,1075.41
190,950.07
191,1021.44
192,967.53
193,1009.46
194,910.46
195,868.92
196,+1199.72
197,1060.07
198,874.87
199,938.88
200,881.45
201,N/A
202,1131.24
203,9.73490e+02
204,NA
205,9.58570e+02
206,9.52380e+02
207,921.14
208,940.54
209,1 165.09
210,"994,6"
211,"1,011.92"
212,1024.37
213,1123.25
214,948.39
215,900.75
216,1167.57 dollars
217,955.88
218,9.27690e+02
219,8.76370e+02
220,871.53 dollars
221,942.6
222,1 061.80
223,"$1,110.98"
224,1070.76
225,963.63
226,1005.97
227,929.54
228,928.28
229, 1088.47
230,898.44
231,1195.53
232,990.97
233,1021.45
234,926.15
235,N/A
236,868.30
237,n/a
238,"$1,041.90"
239,1032.43
240,921.85
241,921.14
242,949.78
243,1149.61
244,886.27
245,982.09
246,"1190,24"
247,989.9 USD
248,864.02
249,933.52 dollars
250,1048.55
251,"962,44"
252,943.81
253,965.61
254,1009.05
255,1 159.85
256,991.14
257,1108.08
258,1063.08
259,988.64
260, 846.71 
261,947.89
262,951.O1
263,"$1,004.72"
264,1 130.02
265,"1229,31"
266,1154.76
267,986.68
268,824.35
269,+961.12
270,1008.92
271, 1084.5 
272,1096.25
273,1068.43
274,  860.47
275,N/A
276,955.34
277,1017.48 dollars
278,NA
279,"1,042.82"
280,  1002.47
281,833.25
282,1073.65
283,1038.6
284,973.43
285,1O11.81
286,1013.4
287,1 022.10
288,NA
289,978.09
290,1016.81
291,1116.84
292, 1105.42 
293,"1,114.53"
294,942.25
295,N/A
296,"1,006.67"
297,NA
298,864.91
299,"1002,1"
300,"1,124.99"
301,928.48
302,"924,73"
303,906.15
304,894.75
305,956.28
306,1033.12
307,+798.58
308,1021.2 USD
309,1 123.67
310,1 203.76
311,1130.12 dollars
312,1075.68
313,"827,33"
314,   939.85 
315,964.8
316,+1070.35
317,989.43
318,874.14
319,1168.44
320,"$1,091.14"
321,1.02374e+03
322,1121.81
323,"866,12"
324,1066.08
325,947.71
326,1 068.37
327,993.92
328,1063.3
329,"1,133.55"
330,1000.73
331,n/a
332,881.16 dollars
333,927.84
334,1151.92
335,1037.74
336,794.78
337,863.6
338,979.92 dollars
339,1086.58 USD
340,989.81
341,1062.42 dollars
342,1095.9
343,1167.11
344,1.00560e+03
345,+994.8
346,824.68
347,N/A
348,942.81
349,902.60
350,9.82010e+02
