country,milk_price_eur_per_liter
Algeria,0.95
Argentina,1.41
Armenia,1.62
Australia,1.77
Austria,1.74
Barbados,
Belarus,0.87
Belgium,1.33
Bolivia,0.69
Brazil,1.05
Bulgaria,1.86
Canada,2.24
Chile,1.19
China,1.77
Colombia,1.53
Costa Rica,2.41
Croatia,1.24
Cyprus,1.89
Czechia,1.2
Denmark,2.13
Djibouti,
Ecuador,1.07
Egypt,0.88
El Salvador,
Estonia,1.15
Finland,1.37
France,1.37
Georgia,2.06
Germany,1.35
Greece,1.75
Guatemala,
Hungary,1.23
Iceland,
India,0.65
Indonesia,1.22
Iraq,1.16
Ireland,1.62
Israel,2.49
Italy,1.64
Jamaica,
Japan,1.48
Jordan,1.42
Kazakstan,1.42
Kuwait,1.61
Latvia,1.26
Lebanon,
Lithuania,1.57
Malaysia,1.9
Maldives,
Malta,1.36
Mauritius,1.48
Mexico,1.74
Moldova,1.26
Netherlands,1.35
New Zealand,1.82
Nicaragua,
North Macedonia,1.31
Norway,2.49
Oman,2.26
Pakistan,0.83
Philippines,1.71
Poland,1.05
Portugal,1.1
Puerto Rico,2.15
Qatar,2.12
Romania,1.58
Russia,1.18
Saudi Arabia,1.72
Serbia,1.37
Singapore,3.08
Slovakia,1.11
Slovenia,1.42
South Africa,1.22
South Korea,2.13
Spain,1.22
Sri Lanka,1.57
Sweden,1.66
Switzerland,2.22
Taiwan,3.07
Thailand,1.81
Turkey,1.05
UAE,1.75
UK,1.69
Ukraine,1.21
Uruguay,1.2
USA,1.06
Vietnam,1.49
