"country","cur_name","cur_code","city","urban_class","wage_eur","cap_eur","cap_index","milk_eur"
"Denmark","Danish Krone","DKK","Copenhagen","Urban",18.72766,12.03921,0.642857142857143,2.13
"China","Yuan Renminbi","CNY","Shenzhen","Urban",3.901068,11.1830616,2.86666666666667,1.77
"USA","US dollar","USD","West Richland","Suburban",15.5952936,10.46664,0.671140939597315,1.06
"Switzerland","Swiss Franc","CHF","St. Moritz","Rural",28.226172,9.51444,0.337078651685393,2.22
"Denmark","Danish Krone","DKK","Copenhagen","Urban",18.72766,8.694985,0.464285714285714,2.13
"Singapore","Singapore Dollar","SGD","Singapore","Urban",13.174772732,8.11909868,0.616261004660798,3.08
"France","Euro","EUR","Paris","Urban",15,8,0.533333333333333,1.37
"Switzerland","Swiss Franc","CHF","Bern","Suburban",24.31468,7.188688,0.295652173913043,2.22
"Saudi Arabia","Saudi Riyal","SAR","Jeddah","Urban",4.8753222,7.4290624,1.52380952380952,1.72
"Denmark","Danish Krone","DKK","Copenhagen","Urban",25.3492255,7.357295,0.29023746701847,2.13
"Denmark","Danish Krone","DKK","Copenhagen","Urban",18.72766,7.223526,0.385714285714286,2.13
"Switzerland","Swiss Franc","CHF","Geneva","Urban",28.54332,6.87154,0.240740740740741,2.22
"Switzerland","Swiss Franc","CHF","Geneva","Urban",25.953278,6.87154,0.264765784114053,2.22
"France","Euro","EUR","Paris","Urban",14,7,0.5,1.37
"Denmark","Danish Krone","DKK","Aalborg","Urban",21.40304,6.955988,0.325,2.13
"Denmark","Danish Krone","DKK","Copenhagen","Urban",18.058815,6.955988,0.385185185185185,2.13
"UK","Pound Sterling","GBP","Cambridge","Urban",15.132845,6.98439,0.461538461538462,1.69
"USA","US dollar","USD","Holland","Suburban",11.4435264,6.97776,0.609756097560976,1.06
"UK","Pound Sterling","GBP","Montclair","Suburban",17.460975,6.751577,0.386666666666667,1.69
"Denmark","Danish Krone","DKK","Copenhagen","Urban",16.721125,6.68845,0.4,2.13
"Denmark","Danish Krone","DKK","Copenhagen","Urban",18.72766,6.68845,0.357142857142857,2.13
"Denmark","Danish Krone","DKK","Copenhagen","Urban",19.396505,6.68845,0.344827586206897,2.13
"Denmark","Danish Krone","DKK","Copenhagen","Urban",22.071885,6.68845,0.303030303030303,2.13
"UK","Pound Sterling","GBP","London","Urban",15.132845,6.6118892,0.436923076923077,1.69
"Switzerland","Swiss Franc","CHF","Zürich","Urban",29.60048,6.34296,0.214285714285714,2.22
"Switzerland","Swiss Franc","CHF","Zürich","Urban",28.54332,6.34296,0.222222222222222,2.22
"Denmark","Danish Krone","DKK","Copenhagen","Suburban",29.161642,6.554681,0.224770642201835,2.13
"Switzerland","Swiss Franc","CHF","Zürich","Urban",21.1432,6.237244,0.295,2.22
"Denmark","Danish Krone","DKK","Copenhagen","Urban",18.72766,6.420912,0.342857142857143,2.13
"Denmark","Danish Krone","DKK","Copenhagen","Urban",20.06535,6.420912,0.32,2.13
"Denmark","Danish Krone","DKK","Vedbæk","Suburban",20.734195,6.420912,0.309677419354839,2.13
"UK","Pound Sterling","GBP","Newcastle","Urban",14.21323365,6.4023575,0.45045045045045,1.69
"Switzerland","Swiss Franc","CHF","Olten","Urban",21.883212,6.131528,0.280193236714976,2.22
"USA","US dollar","USD","","Suburban",13.95552,6.3933726,0.458125,1.06
"Switzerland","Swiss Franc","CHF","Zürich","Urban",26.429,6.025812,0.228,2.22
"Denmark","Danish Krone","DKK","Copenhagen","Urban",19.396505,6.153374,0.317241379310345,2.13
"Denmark","Danish Krone","DKK","Copenhagen","Urban",22.071885,6.153374,0.278787878787879,2.13
"Switzerland","Swiss Franc","CHF","Bern","Urban",27.48616,5.920096,0.215384615384615,2.22
"Switzerland","Swiss Franc","CHF","Zürich","Urban",25.1181216,5.920096,0.235690235690236,2.22
"Iceland","Iceland Krona","ISK","Reykjavik","Urban",20.2651380512,6.305983552,0.311173974540311,NA
"USA","US dollar","USD","Waikiki","Urban",15.69996,6.10554,0.388888888888889,1.06
"USA","US dollar","USD","Catskill, NY","Rural",23.54994,6.10554,0.259259259259259,1.06
"USA","US dollar","USD","Los Angeles","Urban",15.26385,6.10554,0.4,1.06
"USA","US dollar","USD","Seattle","Urban",18.31662,6.10554,0.333333333333333,1.06
"USA","US dollar","USD","New York City","Urban",17.4444,6.10554,0.35,1.06
"USA","US dollar","USD","New York City","Urban",26.1666,6.10554,0.233333333333333,1.06
"USA","US dollar","USD","Dallas","Urban",11.33886,6.10554,0.538461538461538,1.06
"USA","US dollar","USD","Austin","Urban",10.46664,6.10554,0.583333333333333,1.06
"USA","US dollar","USD","New York City","Urban",17.00829,6.10554,0.358974358974359,1.06
"USA","US dollar","USD","San Francisco","Urban",21.8055,6.10554,0.28,1.06
"USA","US dollar","USD","Prescott","Urban",21.8055,6.10554,0.28,1.06
"Denmark","Danish Krone","DKK","Aarhus","Urban",11.102827,6.019605,0.542168674698795,2.13
"Denmark","Danish Krone","DKK","Copenhagen","Urban",12.03921,6.019605,0.5,2.13
"Denmark","Danish Krone","DKK","Copenhagen","Urban",19.396505,6.019605,0.310344827586207,2.13
"Denmark","Danish Krone","DKK","Copenhagen","Urban",20.06535,6.019605,0.3,2.13
"Denmark","Danish Krone","DKK","Svendborg","Suburban",17.38997,6.019605,0.346153846153846,2.13
"Denmark","Danish Krone","DKK","Copenhagen","Suburban",20.06535,6.019605,0.3,2.13
"Switzerland","Swiss Franc","CHF","Aarau",NA,26.429,5.81438,0.22,2.22
"Switzerland","Swiss Franc","CHF","Zürich","Urban",22.20036,5.81438,0.261904761904762,2.22
"Switzerland","Swiss Franc","CHF","St.Gallen","Urban",28.437604,5.81438,0.204460966542751,2.22
"Finland","Euro","EUR","Helsinki","Urban",15.64,6,0.383631713554987,1.37
"Germany","Euro","EUR","Stuttgart","Urban",50,6,0.12,1.35
"France","Euro","EUR","Toulouse","Suburban",13,6,0.461538461538462,1.37
"USA","US dollar","USD","Saint Paul, MN","Urban",14.2782414,5.9921514,0.419670128283445,1.06
"Qatar","Qatari Rial","QAR","Doha","Urban",1.909976,5.968675,3.125,2.12
"Switzerland","Swiss Franc","CHF","Lausanne","Urban",24.31468,5.708664,0.234782608695652,2.22
"Iceland","Iceland Krona","ISK","Akureyri","Urban",13.61519176,6.09100684,0.447368421052632,NA
"Russia","Russian Ruble","RUB","Moscow","Urban",3.10572,5.69382,1.83333333333333,1.18
"UAE","UAE Dirham","AED","Abu Dhabi","Urban",4.74958,5.936975,1.25,1.75
"UAE","UAE Dirham","AED","Umm al quwain","Rural",3.562185,5.936975,1.66666666666667,1.75
"Finland","Euro","EUR","Helsinki","Urban",15,5.8,0.386666666666667,1.37
"UK","Pound Sterling","GBP","London","Urban",16.29691,5.820325,0.357142857142857,1.69
"Denmark","Danish Krone","DKK","Copenhagen","Urban",18.995198,5.752067,0.302816901408451,2.13
"USA","US dollar","USD","Seattle","Urban",20.06106,5.7740964,0.287826086956522,1.06
"UK","Pound Sterling","GBP","London","Urban",20.3711375,5.7039185,0.28,1.69
"UK","Pound Sterling","GBP","London","Urban",16.29691,5.7039185,0.35,1.69
"USA","US dollar","USD","League City, TX","Suburban",13.737465,5.713041,0.415873015873016,1.06
"Turkey","Turkish Lira","TRY","Istanbul","Urban",0.9915075,5.18085,5.22522522522523,1.05
