"name","blood","skill","height","is_hp_character","house","movie","verbal"
"Albus Dumbledore","Half-blood",99,1.78,TRUE,"Gryffindor","Harry Potter","Albus Dumbledore is a Harry Potter's character from house of Gryffindor and is an excellent wizzard wizzard."
"Bellatrix Lestrange","Pure-blood",85,1.58,TRUE,"Slytherin","Harry Potter","Bellatrix Lestrange is a Harry Potter's character from house of Slytherin and is a very good wizzard wizzard."
"Credence Barebone","Unknown",55,1.8,FALSE,NA,"Fantastic Beasts","Credence Barebone is a Fantastic Beasts's character and is not a good wizzard wizzard."
"Dobby",NA,65,1.06,TRUE,NA,"Harry Potter","Dobby is a Harry Potter's character and is a good wizzard wizzard."
"Ernie Macmillan","Pure-blood",35,NA,TRUE,"Hufflepuff","Harry Potter","Ernie Macmillan is a Harry Potter's character from house of Hufflepuff and is not a good wizzard wizzard."
"Fred Weasley","Pure-blood",60,1.89,TRUE,"Gryffindor","Harry Potter","Fred Weasley is a Harry Potter's character from house of Gryffindor and is not a good wizzard wizzard."
"Gellert Grindelwald","Pure-blood",90,1.82,FALSE,NA,"Fantastic Beasts","Gellert Grindelwald is a Fantastic Beasts's character and is a very good wizzard wizzard."
"Hermione Granger","Muggle-born",80,1.65,TRUE,"Gryffindor","Harry Potter","Hermione Granger is a Harry Potter's character from house of Gryffindor and is a good wizzard wizzard."
"Newt Scamander","Pure-blood",75,1.78,FALSE,"Hufflepuff","Fantastic Beasts","Newt Scamander is a Fantastic Beasts's character from house of Hufflepuff and is a good wizzard wizzard."
"Tina Goldstein","Unknown",70,1.65,FALSE,NA,"Fantastic Beasts","Tina Goldstein is a Fantastic Beasts's character and is a good wizzard wizzard."
