"name","skill","height","is_hp_character","house","movie","verbal"
"Albus",99,1.78,TRUE,"Gryffindor","Harry Potter","Albus is a Harry Potter's character from house of Gryffindor and is an excellent wizzard wizzard."
"Bellatrix",85,1.58,TRUE,"Slytherin","Harry Potter","Bellatrix is a Harry Potter's character from house of Slytherin and is a very good wizzard wizzard."
"Credence",55,1.8,FALSE,NA,"Fantastic Beasts","Credence is a Fantastic Beasts's character and is not a good wizzard wizzard."
"Dobby",65,1.06,TRUE,NA,"Harry Potter","Dobby is a Harry Potter's character and is a good wizzard wizzard."
"Ernie",35,NA,TRUE,"Hufflepuff","Harry Potter","Ernie is a Harry Potter's character from house of Hufflepuff and is not a good wizzard wizzard."
"Fred",60,1.89,TRUE,"Gryffindor","Harry Potter","Fred is a Harry Potter's character from house of Gryffindor and is not a good wizzard wizzard."
"Grindelwald",90,1.82,FALSE,NA,"Fantastic Beasts","Grindelwald is a Fantastic Beasts's character and is a very good wizzard wizzard."
"Hermione",80,1.65,TRUE,"Gryffindor","Harry Potter","Hermione is a Harry Potter's character from house of Gryffindor and is a good wizzard wizzard."
"Newt",75,1.78,FALSE,"Hufflepuff","Fantastic Beasts","Newt is a Fantastic Beasts's character from house of Hufflepuff and is a good wizzard wizzard."
"Tina",70,1.65,FALSE,NA,"Fantastic Beasts","Tina is a Fantastic Beasts's character and is a good wizzard wizzard."
