"sex","variable","value"
"Male","height",188
"Male","weight",109.7
"Male","bmi",31
"Male","height",175
"Male","weight",73.6
"Male","bmi",24
"Male","height",188
"Male","weight",96.5
"Male","bmi",27.3
"Male","height",182
"Male","weight",99.8
"Male","bmi",30.1
"Male","height",177
"Male","weight",93.6
"Male","bmi",29.9
"Male","height",171
"Male","weight",69
"Male","bmi",23.6
"Male","height",175
"Male","weight",83.4
"Male","bmi",27.2
"Male","height",174
"Male","weight",76.2
"Male","bmi",25.2
"Male","height",170
"Male","weight",79.8
"Male","bmi",27.6
"Male","height",161
"Male","weight",70.9
"Male","bmi",27.4
"Male","height",181
"Male","weight",84.6
"Male","bmi",25.8
"Male","height",182
"Male","weight",97
"Male","bmi",29.3
"Male","height",165
"Male","weight",75.8
"Male","bmi",27.8
"Male","height",176
"Male","weight",85.9
"Male","bmi",27.7
"Male","height",176
"Male","weight",84.6
"Male","bmi",27.3
"Male","height",172
"Male","weight",78.1
"Male","bmi",26.4
"Male","height",184
"Male","weight",88.9
"Male","bmi",26.3
"Male","height",162
"Male","weight",78.4
"Male","bmi",29.9
"Male","height",177
"Male","weight",84.4
"Male","bmi",26.9
"Male","height",173
"Male","weight",82.7
"Male","bmi",27.6
"Male","height",173
"Male","weight",79
"Male","bmi",26.4
"Male","height",176
"Male","weight",89.7
"Male","bmi",29
"Male","height",168
"Male","weight",67.7
"Male","bmi",24
"Male","height",191
"Male","weight",103.8
"Male","bmi",28.5
"Male","height",172
"Male","weight",73.5
"Male","bmi",24.8
"Male","height",173
"Male","weight",87.2
"Male","bmi",29.1
"Male","height",175
"Male","weight",83.7
"Male","bmi",27.3
"Male","height",185
"Male","weight",93.8
"Male","bmi",27.4
"Male","height",171
"Male","weight",79.5
"Male","bmi",27.2
"Male","height",174
"Male","weight",70
"Male","bmi",23.1
"Male","height",174
"Male","weight",85.1
"Male","bmi",28.1
"Male","height",188
"Male","weight",96.6
"Male","bmi",27.3
"Male","height",182
"Male","weight",88.5
"Male","bmi",26.7
"Male","height",176
"Male","weight",93.1
"Male","bmi",30.1
"Male","height",177
"Male","weight",92.6
"Male","bmi",29.6
