"sex","height","weight","bmi"
"Male",188,109.7,31
"Male",175,73.6,24
"Male",188,96.5,27.3
"Male",182,99.8,30.1
"Male",177,93.6,29.9
"Male",171,69,23.6
"Male",175,83.4,27.2
"Male",174,76.2,25.2
"Male",170,79.8,27.6
"Male",161,70.9,27.4
"Male",181,84.6,25.8
"Male",182,97,29.3
"Male",165,75.8,27.8
"Male",176,85.9,27.7
"Male",176,84.6,27.3
"Male",172,78.1,26.4
"Male",184,88.9,26.3
"Male",162,78.4,29.9
"Male",177,84.4,26.9
"Male",173,82.7,27.6
"Male",173,79,26.4
"Male",176,89.7,29
"Male",168,67.7,24
"Male",191,103.8,28.5
"Male",172,73.5,24.8
"Male",173,87.2,29.1
"Male",175,83.7,27.3
"Male",185,93.8,27.4
"Male",171,79.5,27.2
"Male",174,70,23.1
"Male",174,85.1,28.1
"Male",188,96.6,27.3
"Male",182,88.5,26.7
"Male",176,93.1,30.1
"Male",177,92.6,29.6
"Male",179,87.5,27.3
"Male",175,89.6,29.3
"Male",171,83.4,28.5
"Male",167,74.3,26.6
"Male",163,74,27.9
"Male",173,78.1,26.1
"Male",183,88,26.3
"Male",166,76.5,27.8
"Male",168,73.1,25.9
"Male",171,74.7,25.5
"Male",178,85.7,27
"Male",173,84.8,28.3
"Male",183,94.8,28.3
"Male",176,87.1,28.1
"Male",185,95.9,28
"Male",165,75.1,27.6
"Male",178,91.2,28.8
"Male",174,78.7,26
"Male",171,82.3,28.1
"Male",170,77,26.6
"Male",169,74.1,25.9
"Male",174,86.1,28.4
"Male",180,87.1,26.9
"Male",181,89.9,27.4
"Male",178,95,30
"Male",181,90.2,27.5
"Male",177,89.8,28.7
"Male",187,88.6,25.3
"Male",170,74.8,25.9
"Male",181,81.6,24.9
"Male",166,70.4,25.5
"Male",173,83.7,28
"Male",185,100.1,29.2
"Male",173,83.1,27.8
"Male",175,89.1,29.1
"Male",176,83.7,27
"Male",179,94.1,29.4
"Male",177,80.4,25.7
"Male",172,74,25
"Male",184,98.1,29
"Male",181,92.8,28.3
"Male",182,91.1,27.5
"Male",184,100.2,29.6
"Male",169,89.1,31.2
"Male",168,76.5,27.1
"Male",172,82.3,27.8
"Male",173,90.1,30.1
"Male",188,107.9,30.5
"Male",177,78.5,25.1
"Male",168,72.9,25.8
"Male",181,85.5,26.1
"Male",169,94.5,33.1
"Male",175,87.7,28.6
"Male",173,79,26.4
"Male",184,89.5,26.4
"Male",182,91.5,27.6
"Male",166,82.1,29.8
"Male",179,82.6,25.8
"Male",164,80.5,29.9
"Male",170,74.8,25.9
"Male",165,75.2,27.6
"Male",182,87.6,26.4
"Male",170,82,28.4
