"variable","group","n","shapiro_p","clt_p","decision"
"milk_eur","overall",76,0.0030768840001467,0.272581719209457,"parametric OK (CLT verified)"
"cap_eur","overall",2501,2.24224361877884e-25,0.198300008275882,"parametric OK (CLT verified)"
"cap_eur","Rural",140,1.17445107689054e-09,0.46494065284387,"parametric OK (CLT verified)"
"cap_eur","Suburban",581,3.02890514323514e-13,0.160958941857152,"parametric OK (CLT verified)"
"cap_eur","Urban",1717,1.3120992792484e-19,0.163452991224185,"parametric OK (CLT verified)"
"wage_eur","overall",2501,3.16988902994221e-25,0.212619296080749,"parametric OK (CLT verified)"
"wage_eur","Rural",140,3.09030121044368e-08,0.75568005839744,"parametric OK (CLT verified)"
"wage_eur","Suburban",581,4.32799878807036e-11,0.190148001867041,"parametric OK (CLT verified)"
"wage_eur","Urban",1717,1.72589354640355e-20,0.0330644765045591,"use non-parametric"
"cap_index","overall",2501,6.73545123101699e-67,0.588048634154581,"parametric OK (CLT verified)"
"cap_index","Rural",140,6.42922598583019e-19,1.98642004546956e-08,"use non-parametric"
"cap_index","Suburban",581,1.14606218360769e-37,1.78733530689577e-06,"use non-parametric"
"cap_index","Urban",1717,1.01297315866366e-58,0.00262645387995096,"use non-parametric"
"log_cap_index","overall",2501,5.05584620730031e-42,0.102713796399226,"parametric OK (CLT verified)"
"log_cap_index","Rural",140,8.66539368559647e-11,0.487092728713218,"parametric OK (CLT verified)"
"log_cap_index","Suburban",581,5.71297453301708e-20,0.0213776026941114,"use non-parametric"
"log_cap_index","Urban",1717,4.43066295714279e-36,0.486410675565018,"parametric OK (CLT verified)"
